( train_rajasthanimale_00001 " मेवाड़ी फागण " )
( train_rajasthanimale_00002 " रुतराज बसन्त रौ आगमन आदि काल सूं इ सारी सृष्टि में, जड़ अर चेतन में एक नवो जीवण देतो रह्यो है " )
( train_rajasthanimale_00003 " आपणौ देस रै हरेक प्रान्त में बसन्त रुत रो स्वागत, आप आप रै निरालै ढंग सूं, सरू से करता आया है " )
( train_rajasthanimale_00004 " संस्कृति री जूणी पोथ्या पढ़बा सूं पतो लागै, के प्राचीन काल में बसन्त रुत में घणा घणा उच्छब होता " )
( train_rajasthanimale_00005 " बसन महोछब, अर बन बिहार रा उच्छवां, अर गटनावां पर घणी गाथावां अर नाटक, महाकवियां रा लिख्या हुया है " )
( train_rajasthanimale_00006 " सन्त अर बरखा रुत रो उमंग, आणंद अर भावना सूं, जितरो बखाण कर्यो गयो है, उतरो ओर कोई दूजो रुत रो नई " )
( train_rajasthanimale_00007 " साहित में प्रकृति रो वरणन कठे ही देखणो हो, तो सिवाय बसन्त अर बिरखा रै तीजो नाम ई नी दीखै " )
( train_rajasthanimale_00008 " यूं तो रुत, छै है " )
( train_rajasthanimale_00009 " जीवणदायिणी, सुख संपत देबा वाली अर हजारां गुणां सूं भरी बिरखा रुत है, पण रुतराज री पदबी, अतरा गुणां वाली होतां हुयां भी बरखा रुत नैं नी दी, बसन्त रुत रै माथे ही राजमुकुट मेल्यो गयो " )
( train_rajasthanimale_00010 " यां दिनां में डील में फुरती मन में उमंग हिरदै में आणंद री नवी लहर, मिजाज में मस्ती अर बेफिकरी री ललक इसी हवा में भर जावै, के कवि मन री भावुकता माथौ टेक, ई नैं राजपदवी दी, अर साहित्य रै ऊंचै सिंघासण पै बैठाय, काव्य रा आखता सूं पूजा करी " )
( train_rajasthanimale_00011 " असल में रुत, है बी इसी " )
( train_rajasthanimale_00012 " धरती रा धाणियां करसां रै मूंडां आगै, सियालै रै सी में पाणत कीधा, हर्यो हर्यो खेत, धान रा कणां सूं, भर्यो झोळा खावै " )
( train_rajasthanimale_00013 " जो गेहूं री डैंग्यां तीख्या तीख्या बाळां नैं ऊंचा कीदा, सीयालै रै दाह सूं लडर करसां रा मनां नैं, आत्मविस्वास सूं भरदे, फाल रे बोझ सूं जमीन पे लोटता चणां रा गौड़, आंख्यां में सुहावणा सपना सजावै " )
( train_rajasthanimale_00014 " आंख पूंगे जीतरे सरसूं रा पीळा पीळा, फळां रा खेत, बाग री सी सोभा देवै, जद करसां रा मन हल्लोला लेबा लागै " )
( train_rajasthanimale_00015 " बै सारे परिस्रम नैं भूल जावै " )
( train_rajasthanimale_00016 " बारां महीनयां री मेनत रो थकेलो, ई बसन्त रुत में उतारबा लागै, अर नवै बरस सूं नवी आसावां रा दीवा, जोवै " )
( train_rajasthanimale_00017 " या दिनां में सारी सृष्टि रो ही रंग, बदळबा लागै " )
( train_rajasthanimale_00018 " तीन महीना री करड़ी ठंड री नींद सूं, रुत करूट फेरती, आळस मरोड़ती उठै " )
( train_rajasthanimale_00019 " हाड़ निकळ्या, इस्त्री गांवायां नागा हुया, रूखड़ां में नवो जीव आय जावै, नवी नवी लाल पत्तियां, झुक झुक अदब सूं मुजरो करबा लागै " )
( train_rajasthanimale_00020 " कोयलां रां सावण महीनै सूं सींव्या लगा कंठ खुलबा लागै " )
( train_rajasthanimale_00021 " सारो वन, केसूलां रा फूला री चूंदड़ी ओढ़ नवी बीनणी बण जावै " )
( train_rajasthanimale_00022 " बेलइयां बिरछां रा कांधां पे लटकबा लागै " )
( train_rajasthanimale_00023 " कल्यां फूल बण जाबा री त्यारी करै, फूल, पराग लुटाबा नैं भंवरा नूं नूत्ता देबा लागै " )
( train_rajasthanimale_00024 " भंवर रस स्यूं मूंडो भर्या, कवलां रै ओलूं दोलूं घूमर घालबा लागै " )
( train_rajasthanimale_00025 " कदेई कल्या रे कानां में बातां सुणाबां नैं कने कने जावै, कदेई कंवल नेह में बंद हो सारी रात कैद में रवै " )
( train_rajasthanimale_00026 " बतखां पाणी में कलोलां करबा लागै " )
( train_rajasthanimale_00027 " हिरण, चिरबा नैं खेत री बाणां, कूदबा लागै " )
( train_rajasthanimale_00028 " काती में खिरी मोर री पूंछा, पाछी नवी निकळबा लागै " )
( train_rajasthanimale_00029 " अंबा रे नवा मोड़ निकळ निकळ, सूवां अर कोयलां नैं आसा अर आणंद रा सनेसा सुणावै " )
( train_rajasthanimale_00030 " ई रुत री सुरूआत बसन्तपंचमी करै " )
( train_rajasthanimale_00031 " गेहूँ री डैंग्यां, सरसूं रा फूल, आंबां रा मोड़ नैं, कलापूर्ण ढंग से पाणी भर्या लोटां में सजायां, थाळी में गुलाल भर्यां, बसन्तपंचमी रे दिन, दिन उगतां ई, ढोलण्यां ढोल पे धमाको देती गायर चेतावै, बसन्त आई रे सुहावणी, हिल मिल खेलो कामणी " )
( train_rajasthanimale_00032 " सांचै ई नर नारी चेत जावै " )
( train_rajasthanimale_00033 " थोड़ी देर पाछै, बसन्ती पांगां अर बसन्ती साइयां पैर ऐलान करदे, के अबै या दो महीनां तो प्रकृति रे साथे मिल जावांला " )
( train_rajasthanimale_00034 " दोड़्या दोड़्या इस्त्रीनाथजी रै मंदिर में जावै, आगै इस्त्रीजी बाबा रजाई फेंक, सिगड़ी मंदिर बारै नांख बसन्ती रंग री पोसाक धारण कींदा, गुलाल री कूंडी भर दरसण करबा नैं आबा वाळां पै, गुलाल री मूठ्यां फैंकाय, हुकुम बकसै, जाओ थांई, फागां खेलो " )
( train_rajasthanimale_00035 " धूम धाम सरू हो जावै " )
( train_rajasthanimale_00036 " फागण लगतां ई लुगायां रो झूमको एक साथै बैठ गायर आपरै मन री हूंस जताबा लागै, फागण आयो मेवाड़ म्हानैं फागणियां रंगाय द्यो " )
( train_rajasthanimale_00037 " घणी करारी सोख पूरी बी हो जावै " )
( train_rajasthanimale_00038 " रूस्या लोगां नैं मनाय देणो बी ई रीत री विसेसता रई ऐ " )
( train_rajasthanimale_00039 " ई खूबी सूं, वाकबदार लुगायां मानी पुरसां नैं, मनाबा री तरकीब बताती लागी, नाक तक घूंघटो काढ़, होठां पय एक आंगळी मेल उगैरे, दारू में मारू नें मनाय लेस्यां रे, लाओ दारूड़ी " )
( train_rajasthanimale_00040 " घणी जणयां मणाय बी लेवै " )
( train_rajasthanimale_00041 " वास्तव में, ऐ महीना नाचबा गाबा हंसी मजाक राग रंग उत्सव रा है " )
( train_rajasthanimale_00042 " नेम, मरजाद, अर डोफर सूं बंधी लगी पुरस जात बी, आपरा बाणया, बांधणां नैं तोड़, ई रे प्रवाह में बैह जावै " )
( train_rajasthanimale_00043 " मरजादा नें ऊंची ताक पे मेल झुण्ड रा झुण्ड नाचबा गाबा लागै " )
( train_rajasthanimale_00044 " ऊंच नीच रो भेद भाव भूल जावै " )
( train_rajasthanimale_00045 " समाज रा आचार विचार रा बन्दी मिनख भी मस्त हो जावै, तो प्रकृति रे साथै पली आदि जातियां रो तो, पूछणो ईं कांईं " )
( train_rajasthanimale_00046 " मनोभावां नैं घणी सरल्ता अर स्वच्छन्दता सूं, गीतां में गाय गाय, रात दिन नाचैं " )
( train_rajasthanimale_00047 " हाथी पे चढ़ गांव रा नर नारियां सूं, फाग खेलबा निकळै " )
( train_rajasthanimale_00048 " दूकानां री घरां री छातां पे, ऊभी लुगायां, रंग रे पाणी री बालटियां, अर घड़ा भर भर छांटे " )
( train_rajasthanimale_00049 " छात री अर हाथी री ऊंचाई एक सी बरोबर हो जाणै सूं, सारै गांव री लुगायां, मन भर पाणी फैंक फैंक फाग खेलै " )
( train_rajasthanimale_00050 " हाथी रै पीठ पै लटकी बारटियां सूं, डोलच्यां भर भर लुगायां पै पाणी उछाळै " )
( train_rajasthanimale_00051 " सोखीन अर अमीरायत वाला गुलालगोटां री फाग खेलै " )
( train_rajasthanimale_00052 " चपड़ी री हळकी हळकी फूलां जिसी फोरी, गेंदा बणाय, रंगबिरंगी गुलालां भर स्त्रियां रै साथै, बांसूं खेलै, कोमलांगियां रै कठै ही लाग नी जावै " )
( train_rajasthanimale_00053 " बां गुलाल री गेंदा री मारै जो जाणै फूलां री लागी, पतासा री नांई फट फूट जावै, गुलाल बिखर जावै " )
( train_rajasthanimale_00054 " गुलालगोंटा रा ताक ताक, कस कस निसाणां लगावै " )
( train_rajasthanimale_00055 " या फाग घणी अमीर हुवै " )
